REGIONID,PRODUCTGROUP,WEEK,MEAN_VOLUME
A01,ST0001,1,559479
A01,ST0001,2,483233
A01,ST0001,3,457317
A01,ST0001,4,500629
A01,ST0001,5,541937
A01,ST0001,6,674120
A01,ST0001,7,677071
A01,ST0001,8,604892
A01,ST0001,9,591500
A01,ST0001,10,747184
A01,ST0001,11,687051
A01,ST0001,12,589143
A01,ST0001,13,608835
A01,ST0001,14,532122
A01,ST0001,15,766251
A01,ST0001,16,729374
A01,ST0001,17,696641
A01,ST0001,18,685200
A01,ST0001,19,686305
A01,ST0001,20,662370
A01,ST0001,21,654190
A01,ST0001,22,674695
A01,ST0001,23,663027
A01,ST0001,24,650644
A01,ST0001,25,674538
A01,ST0001,26,681563
A01,ST0001,27,599043
A01,ST0001,28,587529
A01,ST0001,29,620882
A01,ST0001,30,643984
A01,ST0001,31,671138
A01,ST0001,32,677509
A01,ST0001,33,679332
A01,ST0001,34,846123
A01,ST0001,35,833345
A01,ST0001,36,826981
A01,ST0001,37,717281
A01,ST0001,38,693449
A01,ST0001,39,636169
A01,ST0001,40,647135
A01,ST0001,41,665177
A01,ST0001,42,639179
A01,ST0001,43,627906
A01,ST0001,44,623132
A01,ST0001,45,621592
A01,ST0001,46,644949
A01,ST0001,47,681873
A01,ST0001,48,1103665
A01,ST0001,49,835398
A01,ST0001,50,752613
A01,ST0001,51,863189
A01,ST0001,52,1197170
A01,ST0001,53,757241
