수지온도,금형온도,사출시간,해석 사출압
210,40,0.5,24.673
210,40,1.0,23.302
210,40,1.5,27.599
210,40,2.0,33.984
210,40,2.5,37.638
210,40,3.0,39.247
210,40,3.5,41.122
220,40,0.5,21.601
220,40,1.0,20.045
220,40,1.5,23.033
220,40,2.0,27.991
220,40,2.5,32.406
220,40,3.0,34.856
220,40,3.5,36.563
230,40,0.5,18.849
230,40,1.0,17.632
230,40,1.5,19.255
230,40,2.0,22.679
230,40,2.5,26.985
230,40,3.0,29.908
230,40,3.5,32.03
210,50,0.5,24.401
210,50,1.0,23.033
210,50,1.5,25.667
210,50,2.0,30.449
210,50,2.5,34.774
210,50,3.0,37.952
210,50,3.5,40.368
220,50,0.5,21.178
220,50,1.0,19.975
220,50,1.5,21.322
220,50,2.0,25.104
220,50,2.5,29.423
220,50,3.0,32.654
220,50,3.5,34.242
230,50,0.5,18.577
230,50,1.0,17.678
230,50,1.5,17.976
230,50,2.0,20.776
230,50,2.5,24.338
230,50,3.0,28.301
230,50,3.5,29.483
210,60,0.5,23.758
210,60,1.0,22.795
210,60,1.5,23.719
210,60,2.0,27.161
210,60,2.5,31.9
210,60,3.0,35.037
210,60,3.5,37.489
220,60,0.5,20.805
220,60,1.0,20.271
220,60,1.5,19.793
220,60,2.0,22.61
220,60,2.5,26.271
220,60,3.0,29.246
220,60,3.5,32.291
230,60,0.5,18.273
230,60,1.0,17.46
230,60,1.5,16.861
230,60,2.0,19.152
230,60,2.5,21.757
230,60,3.0,24.83
230,60,3.5,27.361
210,70,0.5,23.632
210,70,1.0,22.775
210,70,1.5,22.158
210,70,2.0,24.535
210,70,2.5,27.594
210,70,3.0,30.876
210,70,3.5,34.283
220,70,0.5,20.408
220,70,1.0,19.591
220,70,1.5,18.844
220,70,2.0,20.61
220,70,2.5,23.226
220,70,3.0,25.869
220,70,3.5,29.048
230,70,0.5,17.919
230,70,1.0,17.366
230,70,1.5,16.393
230,70,2.0,17.419
230,70,2.5,19.466
230,70,3.0,21.591
230,70,3.5,24.207
215,59,0.6,22.192
223,49,1.9,23.097
221,43,3.2,34.773
221,58,1.1,19.608
224,58,1.9,20.848
217,47,3.1,35.225
213,42,0.8,23.088
226,45,1.3,18.658
214,66,3.4,32.611
213,58,1.7,24.12
229,64,0.8,17.966
213,63,1.4,21.409
221,51,2.1,24.909
215,41,2.4,33.96
212,54,2.6,33.2
237,33,0.3,18.007
209,38,0.2,26.917
201,77,3.7,37.84
232,39,4.1,33.874
204,72,4.3,40.341
