Input_1,Input_2,Input_3,Output_1,Output_2,Output_3
10.0,10.0,1.0,6.8990,6.2900,5.2736
10.0,15.0,1.0,6.9260,6.2720,5.2933
10.0,20.0,1.0,6.9670,6.2680,5.3074
10.0,25.0,1.0,6.9610,6.2400,5.3185
10.0,30.0,1.0,6.9700,6.2380,5.3266
10.0,35.0,1.0,6.9710,6.2380,5.3323
10.0,40.0,1.0,6.9210,6.2040,5.3362
10.0,45.0,1.0,6.9190,6.1990,5.3380
10.0,50.0,1.0,6.9170,6.1960,5.3415
10.0,55.0,1.0,6.9130,6.1910,5.3430
10.0,60.0,1.0,6.8440,6.1440,5.3445
10.0,65.0,1.0,6.8400,6.1380,5.3479
10.0,70.0,1.0,6.8380,6.1340,5.3486
10.0,75.0,1.0,6.8360,6.1300,5.3492
10.0,80.0,1.0,6.8350,6.1270,5.3502
10.0,85.0,1.0,6.8350,6.1200,5.3533
10.0,90.0,1.0,6.7620,6.0620,5.3546
10.0,95.0,1.0,6.7570,6.0510,5.3554
10.0,100.0,1.0,6.7650,6.0540,5.3560
10.0,10.0,2.0,6.6740,5.9690,5.2800
10.0,15.0,2.0,6.6660,5.9370,5.3051
10.0,20.0,2.0,6.6690,5.9310,5.3240
10.0,25.0,2.0,6.6690,5.9260,5.3396
10.0,30.0,2.0,6.6540,5.8980,5.3514
10.0,35.0,2.0,6.6480,5.8890,5.3613
10.0,40.0,2.0,6.6470,5.8870,5.3671
10.0,45.0,2.0,6.6460,5.8850,5.3719
10.0,50.0,2.0,6.6460,5.8840,5.3762
10.0,55.0,2.0,6.6440,5.8820,5.3807
10.0,60.0,2.0,6.6230,5.8420,5.3831
10.0,65.0,2.0,6.6140,5.8300,5.3863
10.0,70.0,2.0,6.6120,5.8260,5.3893
10.0,75.0,2.0,6.6110,5.8240,5.3919
10.0,80.0,2.0,6.6090,5.8220,5.3948
10.0,85.0,2.0,6.6070,5.8200,5.3971
10.0,90.0,2.0,6.6060,5.8170,5.3981
10.0,95.0,2.0,6.5910,5.7930,5.4012
10.0,100.0,2.0,6.5850,5.7870,5.4028
10.0,10.0,3.0,6.5630,5.7680,5.2812
10.0,15.0,3.0,6.5550,5.7370,5.3084
10.0,20.0,3.0,6.5580,5.7310,5.3293
10.0,25.0,3.0,6.5580,5.7260,5.3468
10.0,30.0,3.0,6.5360,5.6900,5.3603
10.0,35.0,3.0,6.5340,5.6810,5.3714
10.0,40.0,3.0,6.5330,5.6790,5.3788
10.0,45.0,3.0,6.5320,5.6780,5.3854
10.0,50.0,3.0,6.5310,5.6760,5.3902
10.0,55.0,3.0,6.5300,5.6750,5.3960
10.0,60.0,3.0,6.5290,5.6740,5.3999
10.0,65.0,3.0,6.5280,5.6730,5.4035
10.0,70.0,3.0,6.5260,5.6690,5.4074
10.0,75.0,3.0,6.5250,5.6680,5.4111
10.0,80.0,3.0,6.5230,5.6660,5.4144
10.0,85.0,3.0,6.5190,5.6610,5.4174
10.0,90.0,3.0,6.5140,5.6540,5.4201
10.0,95.0,3.0,6.5070,5.6450,5.4226
10.0,100.0,3.0,6.5050,5.6410,5.4258
10.0,10.0,4.0,6.4600,5.5790,5.2814
10.0,15.0,4.0,6.4180,5.4800,5.3095
10.0,20.0,4.0,6.4050,5.4460,5.3316
10.0,25.0,4.0,6.4050,5.4420,5.3501
10.0,30.0,4.0,6.3790,5.3960,5.3648
10.0,35.0,4.0,6.3790,5.3930,5.3773
10.0,40.0,4.0,6.3770,5.3910,5.3857
10.0,45.0,4.0,6.4010,5.4330,5.3931
10.0,50.0,4.0,6.3990,5.4320,5.3992
10.0,55.0,4.0,6.3980,5.4310,5.4059
10.0,60.0,4.0,6.3970,5.4300,5.4100
10.0,65.0,4.0,6.3950,5.4300,5.4145
