REGIONID,PRODUCTGROUP,PRODUCT,ITEM,YEARWEEK,YEAR,WEEK,QTY,HOLIDAY,HCLUS,PROMOTION,PRO_PERCENT
A01,PG01,P01,ITEM001,201538,2015,38,1,N,4,N,0
A01,PG01,P01,ITEM001,201548,2015,48,1,Y,0,N,0
A01,PG01,P01,ITEM001,201549,2015,49,2,Y,0,N,0
A01,PG01,P01,ITEM002,201526,2015,26,1,Y,1,N,0
A01,PG01,P01,ITEM002,201532,2015,32,1,N,4,N,0
A01,PG01,P01,ITEM003,201553,2015,53,2,Y,1,N,0
A01,PG01,P01,ITEM004,201501,2015,1,63,Y,1,Y,0.345901639
A01,PG01,P01,ITEM004,201502,2015,2,33,N,4,Y,0.345901639
A01,PG01,P01,ITEM004,201503,2015,3,7,N,4,N,0
A01,PG01,P01,ITEM004,201504,2015,4,6,Y,2,N,0
A01,PG01,P01,ITEM004,201505,2015,5,33,N,4,N,0
A01,PG01,P01,ITEM004,201506,2015,6,39,N,4,N,0
A01,PG01,P01,ITEM004,201507,2015,7,21,N,4,N,0
A01,PG01,P01,ITEM005,201501,2015,1,572,Y,1,Y,0.446687211
A01,PG01,P01,ITEM005,201502,2015,2,405,N,4,Y,0.446687211
A01,PG01,P01,ITEM005,201503,2015,3,37,N,4,N,0
A01,PG01,P01,ITEM005,201504,2015,4,43,Y,2,N,0
A01,PG01,P01,ITEM005,201505,2015,5,292,N,4,N,0
A01,PG01,P01,ITEM005,201506,2015,6,288,N,4,N,0
A01,PG01,P01,ITEM005,201507,2015,7,124,N,4,N,0
A01,PG01,P01,ITEM005,201508,2015,8,19,Y,1,N,0
A01,PG01,P01,ITEM006,201501,2015,1,82,Y,1,Y,0.345901639
A01,PG01,P01,ITEM006,201502,2015,2,47,N,4,Y,0.345901639
A01,PG01,P01,ITEM006,201503,2015,3,3,N,4,N,0
A01,PG01,P01,ITEM006,201504,2015,4,4,Y,2,N,0
A01,PG01,P01,ITEM006,201505,2015,5,45,N,4,N,0
A01,PG01,P01,ITEM006,201506,2015,6,35,N,4,N,0
A01,PG01,P01,ITEM006,201507,2015,7,15,N,4,N,0
A01,PG01,P01,ITEM006,201508,2015,8,16,Y,1,N,0
A01,PG01,P01,ITEM007,201501,2015,1,64,Y,1,Y,0.230354391
A01,PG01,P01,ITEM007,201502,2015,2,53,N,4,Y,0.23174114
A01,PG01,P01,ITEM007,201503,2015,3,67,N,4,Y,0.23174114
A01,PG01,P01,ITEM007,201504,2015,4,74,Y,2,Y,0.23174114
A01,PG01,P01,ITEM007,201505,2015,5,35,N,4,Y,0.23174114
A01,PG01,P01,ITEM007,201506,2015,6,43,N,4,Y,0.23174114
A01,PG01,P01,ITEM007,201507,2015,7,56,N,4,Y,0.23174114
A01,PG01,P01,ITEM007,201508,2015,8,60,Y,1,Y,0.23174114
A01,PG01,P01,ITEM007,201509,2015,9,59,N,4,Y,0.23174114
A01,PG01,P01,ITEM007,201510,2015,10,40,N,4,Y,0.154083205
A01,PG01,P01,ITEM007,201511,2015,11,32,N,4,Y,0.154083205
A01,PG01,P01,ITEM007,201512,2015,12,29,N,4,Y,0.154083205
A01,PG01,P01,ITEM007,201513,2015,13,35,N,4,Y,0.154083205
A01,PG01,P01,ITEM007,201514,2015,14,24,N,4,Y,0.154083205
A01,PG01,P01,ITEM007,201515,2015,15,21,N,4,Y,0.154083205
A01,PG01,P01,ITEM007,201516,2015,16,16,N,4,N,0
A01,PG01,P01,ITEM007,201517,2015,17,24,N,4,Y,0.154083205
A01,PG01,P01,ITEM007,201518,2015,18,33,N,4,Y,0.154083205
A01,PG01,P01,ITEM007,201519,2015,19,22,N,4,Y,0.154083205
A01,PG01,P01,ITEM007,201520,2015,20,18,Y,1,Y,0.154083205
A01,PG01,P01,ITEM007,201521,2015,21,22,Y,1,Y,0.154083205
A01,PG01,P01,ITEM007,201522,2015,22,36,Y,1,Y,0.154083205
A01,PG01,P01,ITEM007,201523,2015,23,16,N,4,Y,0.154083205
A01,PG01,P01,ITEM007,201524,2015,24,17,N,4,N,0
A01,PG01,P01,ITEM007,201525,2015,25,29,Y,1,Y,0.23174114
A01,PG01,P01,ITEM007,201526,2015,26,62,Y,1,Y,0.23174114
A01,PG01,P01,ITEM007,201527,2015,27,92,Y,1,Y,0.23174114
A01,PG01,P01,ITEM007,201528,2015,28,65,Y,1,Y,0.23174114
A01,PG01,P01,ITEM007,201529,2015,29,58,Y,1,Y,0.23174114
A01,PG01,P01,ITEM007,201530,2015,30,50,N,4,Y,0.23174114
A01,PG01,P01,ITEM007,201531,2015,31,53,N,4,Y,0.23174114
A01,PG01,P01,ITEM007,201532,2015,32,34,N,4,Y,0.23174114
A01,PG01,P01,ITEM007,201533,2015,33,34,N,4,Y,0.23174114
A01,PG01,P01,ITEM007,201534,2015,34,12,N,4,Y,0.154083205
A01,PG01,P01,ITEM007,201535,2015,35,21,Y,1,Y,0.154083205
A01,PG01,P01,ITEM007,201536,2015,36,20,Y,1,Y,0.154083205
A01,PG01,P01,ITEM007,201537,2015,37,16,Y,1,Y,0.154083205
A01,PG01,P01,ITEM007,201538,2015,38,20,N,4,Y,0.154083205
A01,PG01,P01,ITEM007,201539,2015,39,18,N,4,Y,0.154083205
A01,PG01,P01,ITEM007,201540,2015,40,22,N,4,Y,0.154083205
A01,PG01,P01,ITEM007,201541,2015,41,17,N,4,Y,0.154083205
A01,PG01,P01,ITEM007,201542,2015,42,20,Y,2,Y,0.154083205
A01,PG01,P01,ITEM007,201543,2015,43,12,N,4,Y,0.154083205
A01,PG01,P01,ITEM007,201544,2015,44,8,N,4,Y,0.154083205
A01,PG01,P01,ITEM007,201545,2015,45,50,Y,0,Y,0.308012327
A01,PG01,P01,ITEM007,201546,2015,46,53,Y,0,Y,0.308012327
A01,PG01,P01,ITEM007,201547,2015,47,67,Y,0,Y,0.308012327
A01,PG01,P01,ITEM007,201548,2015,48,80,Y,0,Y,0.308012327
A01,PG01,P01,ITEM007,201549,2015,49,70,Y,0,Y,0.308012327
A01,PG01,P01,ITEM007,201550,2015,50,11,N,4,N,0
A01,PG01,P01,ITEM007,201551,2015,51,18,N,4,Y,0.154083205
A01,PG01,P01,ITEM007,201552,2015,52,16,Y,1,Y,0.154083205
A01,PG01,P01,ITEM007,201553,2015,53,13,Y,1,Y,0.154083205
A01,PG01,P01,ITEM007,201601,2016,1,12,N,4,Y,0.154083205
A01,PG01,P01,ITEM007,201602,2016,2,38,N,4,Y,0.308012327
A01,PG01,P01,ITEM007,201603,2016,3,52,Y,2,Y,0.308012327
A01,PG01,P01,ITEM007,201604,2016,4,90,N,4,Y,0.308012327
A01,PG01,P01,ITEM007,201605,2016,5,53,N,4,Y,0.308012327
A01,PG01,P01,ITEM007,201606,2016,6,21,N,4,N,0
A01,PG01,P01,ITEM007,201607,2016,7,19,Y,1,Y,0.23174114
A01,PG01,P01,ITEM007,201608,2016,8,48,N,4,Y,0.23174114
A01,PG01,P01,ITEM007,201609,2016,9,43,N,4,Y,0.23174114
A01,PG01,P01,ITEM007,201610,2016,10,16,N,4,Y,0.23174114
A01,PG01,P01,ITEM007,201611,2016,11,9,N,4,N,0
A01,PG01,P01,ITEM007,201612,2016,12,25,N,4,Y,0.23174114
A01,PG01,P01,ITEM007,201613,2016,13,28,N,4,Y,0.23174114
A01,PG01,P01,ITEM007,201614,2016,14,9,N,4,Y,0.23174114
A01,PG01,P01,ITEM007,201615,2016,15,5,N,4,N,0
A01,PG01,P01,ITEM007,201616,2016,16,5,N,4,N,0
A01,PG01,P01,ITEM007,201617,2016,17,7,N,4,N,0
A01,PG01,P01,ITEM007,201618,2016,18,8,N,4,N,0
A01,PG01,P01,ITEM007,201619,2016,19,9,N,4,N,0
A01,PG01,P01,ITEM007,201620,2016,20,6,Y,1,Y,0.154083205
A01,PG01,P01,ITEM007,201621,2016,21,5,Y,1,Y,0.154083205
A01,PG01,P01,ITEM007,201622,2016,22,12,Y,1,Y,0.154083205
A01,PG01,P01,ITEM007,201623,2016,23,9,N,4,Y,0.154083205
A01,PG01,P01,ITEM007,201624,2016,24,8,N,4,Y,0.154083205
A01,PG01,P01,ITEM007,201625,2016,25,18,Y,1,Y,0.23174114
A01,PG01,P01,ITEM007,201626,2016,26,37,Y,1,Y,0.23174114
A01,PG01,P01,ITEM007,201627,2016,27,28,Y,1,Y,0.23174114
A01,PG01,P01,ITEM007,201628,2016,28,19,Y,1,Y,0.23174114
A01,PG01,P01,ITEM007,201629,2016,29,20,Y,1,N,0
A01,PG01,P01,ITEM007,201630,2016,30,20,N,4,N,0
A01,PG01,P01,ITEM007,201631,2016,31,12,N,4,N,0
A01,PG01,P01,ITEM007,201632,2016,32,3,N,4,N,0
A01,PG01,P01,ITEM007,201633,2016,33,2,N,4,N,0
A01,PG01,P01,ITEM007,201634,2016,34,1,Y,1,N,0
A01,PG01,P01,ITEM007,201635,2016,35,2,Y,1,N,0
A01,PG01,P01,ITEM007,201638,2016,38,1,N,4,N,0
A01,PG01,P01,ITEM008,201501,2015,1,542,Y,1,Y,0.285407725
A01,PG01,P01,ITEM008,201502,2015,2,490,N,4,Y,0.286695279
A01,PG01,P01,ITEM008,201503,2015,3,477,N,4,Y,0.286695279
A01,PG01,P01,ITEM008,201504,2015,4,612,Y,2,Y,0.286695279
A01,PG01,P01,ITEM008,201505,2015,5,325,N,4,Y,0.286695279
A01,PG01,P01,ITEM008,201506,2015,6,261,N,4,Y,0.214592275
A01,PG01,P01,ITEM008,201507,2015,7,336,N,4,Y,0.214592275
A01,PG01,P01,ITEM008,201508,2015,8,426,Y,1,Y,0.214592275
A01,PG01,P01,ITEM008,201509,2015,9,415,N,4,Y,0.214592275
A01,PG01,P01,ITEM008,201510,2015,10,298,N,4,Y,0.14248927
A01,PG01,P01,ITEM008,201511,2015,11,293,N,4,Y,0.14248927
A01,PG01,P01,ITEM008,201512,2015,12,244,N,4,Y,0.14248927
A01,PG01,P01,ITEM008,201513,2015,13,253,N,4,Y,0.14248927
A01,PG01,P01,ITEM008,201514,2015,14,208,N,4,Y,0.14248927
A01,PG01,P01,ITEM008,201515,2015,15,229,N,4,Y,0.14248927
A01,PG01,P01,ITEM008,201516,2015,16,160,N,4,N,0
A01,PG01,P01,ITEM008,201517,2015,17,257,N,4,Y,0.14248927
A01,PG01,P01,ITEM008,201518,2015,18,560,N,4,Y,0.14248927
A01,PG01,P01,ITEM008,201519,2015,19,379,N,4,Y,0.14248927
A01,PG01,P01,ITEM008,201520,2015,20,309,Y,1,Y,0.214592275
A01,PG01,P01,ITEM008,201521,2015,21,419,Y,1,Y,0.214592275
A01,PG01,P01,ITEM008,201522,2015,22,494,Y,1,Y,0.214592275
A01,PG01,P01,ITEM008,201523,2015,23,379,N,4,Y,0.214592275
A01,PG01,P01,ITEM008,201524,2015,24,256,N,4,N,0
