balance,stock,label
30000000,22500000,normal
280000000,48000000,diamond
300000000,40666666,diamond
54000000,28000000,normal
768000000,32000000,vip
700000000,77000000,vip
54000000,19500000,normal
60000000,19000000,normal
736000000,25333333,diamond
744000000,27333333,diamond
752000000,40000000,diamond
724000000,28666666,diamond
800000000,75000000,vip
584000000,43333333,diamond
792000000,54000000,vip
532000000,46666666,diamond
752000000,80000000,vip
624000000,32666666,diamond
800000000,63000000,vip
728000000,42666666,diamond
278000000,30000000,normal
580000000,28500000,normal
246000000,24000000,normal
656000000,43333333,diamond
272000000,22000000,normal
736000000,68000000,vip
748000000,64000000,vip
776000000,71000000,vip
756000000,65000000,vip
282000000,28000000,normal
512000000,50666666,diamond
620000000,43333333,diamond
780000000,64000000,vip
580000000,25500000,normal
584000000,37333333,diamond
736000000,32666666,diamond
298000000,23500000,normal
720000000,25333333,diamond
736000000,34000000,diamond
268000000,19500000,normal
488000000,53333333,diamond
692000000,30000000,diamond
784000000,25333333,diamond
784000000,32000000,diamond
624000000,48666666,diamond
784000000,68000000,vip
688000000,38666666,diamond
624000000,44666666,diamond
716000000,70000000,diamond
760000000,70000000,vip
736000000,22000000,normal
664000000,40666666,diamond
596000000,42000000,diamond
264000000,24000000,normal
736000000,29333333,diamond
548000000,70000000,diamond
780000000,60000000,vip
712000000,73000000,vip
636000000,28000000,diamond
282000000,18500000,normal
246000000,30500000,normal
292000000,17500000,normal
292000000,24000000,normal
328000000,18000000,normal
612000000,41333333,diamond
800000000,26666666,diamond
756000000,38000000,diamond
256000000,20500000,normal
756000000,27333333,diamond
708000000,38000000,diamond
260000000,29000000,normal
592000000,42000000,diamond
584000000,40000000,diamond
268000000,21000000,normal
286000000,26000000,normal
596000000,47333333,diamond
282000000,18000000,normal
668000000,36666666,diamond
262000000,30000000,normal
528000000,50000000,vip
316000000,21000000,normal
736000000,24000000,diamond
572000000,52666666,diamond
776000000,26000000,diamond
652000000,32666666,diamond
268000000,26500000,normal
772000000,27333333,diamond
274000000,20500000,normal
620000000,34000000,diamond
264000000,18500000,normal
254000000,36500000,normal
248000000,29500000,normal
676000000,44000000,diamond
560000000,46000000,diamond
262000000,20000000,normal
660000000,38000000,diamond
676000000,48000000,diamond
752000000,80000000,vip
700000000,32000000,vip
488000000,52666666,vip
276000000,27000000,normal
288000000,25000000,normal
704000000,46666666,diamond
684000000,50666666,diamond
716000000,42000000,diamond
744000000,74000000,vip
676000000,28666666,diamond
760000000,70000000,diamond
704000000,26666666,diamond
764000000,34666666,diamond
764000000,26666666,diamond
310000000,18000000,normal
284000000,19000000,normal
688000000,31333333,diamond
752000000,63000000,vip
600000000,45333333,diamond
262000000,30000000,normal
270000000,20000000,normal
276000000,26000000,normal
548000000,50666666,diamond
580000000,49333333,diamond
612000000,50000000,diamond
716000000,40666666,diamond
560000000,44666666,diamond
688000000,41333333,diamond
640000000,32000000,diamond
298000000,18000000,normal
640000000,18000000,vip
784000000,27333333,diamond
648000000,38000000,diamond
254000000,24500000,normal
660000000,42666666,diamond
672000000,26000000,diamond
768000000,66000000,vip
700000000,26000000,diamond
250000000,17500000,normal
628000000,42000000,diamond
264000000,34000000,normal
692000000,37333333,diamond
676000000,70000000,diamond
632000000,34666666,diamond
612000000,38000000,diamond
576000000,45333333,diamond
688000000,46666666,diamond
636000000,34000000,diamond
708000000,74000000,vip
684000000,34666666,diamond
684000000,38000000,diamond
560000000,48666666,diamond
752000000,77000000,vip
664000000,25333333,diamond
656000000,46000000,diamond
656000000,24666666,diamond
326000000,18000000,normal
756000000,65000000,vip
536000000,52000000,diamond
664000000,24666666,diamond
256000000,23500000,normal
668000000,43333333,diamond
720000000,26000000,diamond
604000000,46666666,diamond
608000000,52000000,diamond
282000000,23500000,normal
524000000,49333333,vip
704000000,46666666,vip
648000000,30000000,diamond
764000000,30666666,vip
580000000,43333333,diamond
788000000,66000000,vip
764000000,30666666,diamond
716000000,42666666,diamond
284000000,21500000,normal
588000000,47333333,diamond
688000000,41333333,diamond
276000000,30500000,normal
296000000,23500000,normal
