CUSTID,AVERAGEPRICE,EMI,DEVICECOUNT,PRODUCTAGE,CUSTTYPE
A13566,4273.9,3,6.4,1.67918084803969,Big-Screen-lover
A14219,3642.44195049366,2,4,2.68202302093618,Sleeping-dog
A15312,3653.88456537549,2,5,3.2082015713118,Sleeping-dog
A16605,3713.21110671116,2,6.6,0.9,Early-bird
B10634,3391.07421460378,2,4.2,2.45365640323609,Sleeping-dog
B16849,3755.26339111697,2,4.7,2.78666516346857,Sleeping-dog
B18816,3213.91144567674,2,6.4,0.9,Early-bird
C10639,3516.5,2,5.2,2.56482995329425,Big-Screen-lover
C12717,3732.9,2,5.7,2.06999546004925,Big-Screen-lover
C15050,4020.1734245492,2,4.9,3.01343993623741,Sleeping-dog
C18306,4005.00514247141,2,4.7,3.1136181011796,Sleeping-dog
C18622,3246,1,5,1.89162412926089,Big-Screen-lover
C19178,3624.7,2,5.6,2.13724639624357,Big-Screen-lover
D11795,2991.01470293207,2,6.4,0.8,Early-bird
D13030,3227.85565524807,2,4.8,3.46737022837624,Sleeping-dog
D15289,4165.7,2,6.9,2.91101566685829,Big-Screen-lover
D17241,4166.53312994377,2,4.7,2.57775659522042,Sleeping-dog
D17880,3383.14585326891,2,4.5,2.90399038572796,Sleeping-dog
E10778,4165.7,2,6.7,2.12225665198639,Big-Screen-lover
E11917,3516.5,2,5.5,2.08753976421431,Big-Screen-lover
E16075,3418.04888658458,2,4.2,2.77146943110041,Sleeping-dog
E16221,3408.3,2,5,1.98868247728795,Big-Screen-lover
E18145,3408.3,2,4.9,1.52102927961387,Big-Screen-lover
E19404,3764.94041410596,2,6.5,0.9,Early-bird
F10222,3191.06582222132,2,6.5,0.9,Early-bird
F12979,4165.7,2,6.1,2.12836199494079,Big-Screen-lover
F14866,3137.8,2,5.1,1.72589216356166,Big-Screen-lover
F17131,3179.70835860767,3,6.5,1.1,Early-bird
F18646,3334.24423312009,2,4.5,3.27319604787044,Sleeping-dog
F19938,3732.9,2,5.4,2.01130348181818,Big-Screen-lover
G11453,2744.81588112176,2,6.4,0.9,Early-bird
G15439,3559.61775371104,2,4.5,3.34569506123662,Sleeping-dog
G15736,3624.7,2,5.7,3.36722946737427,Big-Screen-lover
G16437,3787.32889805546,3,6.7,1,Early-bird
G16681,3216.43815042186,2,4.4,2.25428159750998,Sleeping-dog
