CUSTID,AVGPRICE,EMI,DEVICECOUNT,PRODUCTAGE,CUSTTYPE
A13566,4273.9,3,6.4,1.67918084803969,Big-Screen-lover
A14219,3642.4419504936604,2,4.0,2.68202302093618,Sleeping-dog
A15312,3653.88456537549,2,5.0,3.2082015713118,Sleeping-dog
A16605,3713.2111067111605,2,6.6,0.9,Early-bird
B10634,3391.07421460378,2,4.2,2.45365640323609,Sleeping-dog
B16849,3755.26339111697,2,4.7,2.78666516346857,Sleeping-dog
B18816,3213.91144567674,2,6.4,0.9,Early-bird
C10639,3516.5,2,5.2,2.5648299532942502,Big-Screen-lover
C12717,3732.9,2,5.7,2.0699954600492503,Big-Screen-lover
C15050,4020.1734245492,2,4.9,3.0134399362374102,Sleeping-dog
C18306,4005.0051424714097,2,4.7,3.1136181011796005,Sleeping-dog
C18622,3246.0,1,5.0,1.89162412926089,Big-Screen-lover
C19178,3624.7,2,5.6,2.13724639624357,Big-Screen-lover
D11795,2991.0147029320697,2,6.4,0.8,Early-bird
D13030,3227.85565524807,2,4.8,3.46737022837624,Sleeping-dog
D15289,4165.7,2,6.9,2.91101566685829,Big-Screen-lover
D17241,4166.53312994377,2,4.7,2.57775659522042,Sleeping-dog
D17880,3383.14585326891,2,4.5,2.90399038572796,Sleeping-dog
E10778,4165.7,2,6.7,2.12225665198639,Big-Screen-lover
E11917,3516.5,2,5.5,2.08753976421431,Big-Screen-lover
E16075,3418.04888658458,2,4.2,2.77146943110041,Sleeping-dog
E16221,3408.3,2,5.0,1.98868247728795,Big-Screen-lover
E18145,3408.3,2,4.9,1.52102927961387,Big-Screen-lover
E19404,3764.94041410596,2,6.5,0.9,Early-bird
F10222,3191.06582222132,2,6.5,0.9,Early-bird
F12979,4165.7,2,6.1,2.12836199494079,Big-Screen-lover
F14866,3137.8,2,5.1,1.72589216356166,Big-Screen-lover
F17131,3179.7083586076697,3,6.5,1.1,Early-bird
F18646,3334.2442331200896,2,4.5,3.27319604787044,Sleeping-dog
F19938,3732.9,2,5.4,2.01130348181818,Big-Screen-lover
G11453,2744.8158811217604,2,6.4,0.9,Early-bird
G15439,3559.61775371104,2,4.5,3.34569506123662,Sleeping-dog
G15736,3624.7,2,5.7,3.36722946737427,Big-Screen-lover
G16437,3787.3288980554603,3,6.7,1.0,Early-bird
G16681,3216.4381504218604,2,4.4,2.25428159750998,Sleeping-dog
G16922,3817.5030965046503,2,4.6,2.48300955979154,Sleeping-dog
G18402,3402.1993809406604,3,6.5,1.0,Early-bird
G19717,2873.10220220129,2,6.5,0.8,Early-bird
H10188,4020.24516165085,2,6.7,0.9,Early-bird
H15023,3323.2020705934196,2,6.3,1.0,Early-bird
H16326,3988.9353035127,3,6.5,0.9,Early-bird
H16434,3145.23248863309,2,3.5,1.86585688591003,Sleeping-dog
H18821,3665.54349228799,2,4.4,2.8731117916666,Sleeping-dog
H19829,3624.7,2,5.7,2.5206461940379796,Big-Screen-lover
I11601,3437.81838816903,2,6.3,0.9,Early-bird
I12899,3018.8956367649103,3,6.4,0.9,Early-bird
I14835,3374.0913393732203,1,4.0,2.74967808524147,Sleeping-dog
I17056,2963.3701215062,1,3.3,2.1391963408328603,Sleeping-dog
I17780,2804.26715745362,2,6.3,0.9,Early-bird
I18190,3462.4,2,5.3,2.6079502717172702,Big-Screen-lover
I19586,3895.2,2,5.8,2.08670372337103,Big-Screen-lover
J10809,3676.1356266881,3,6.5,0.8,Early-bird
J15083,2811.26593163706,3,6.0,0.9,Early-bird
J16445,3041.84818637252,3,6.4,0.8,Early-bird
J18368,3408.3,2,5.6,2.4972115271911,Big-Screen-lover
J18640,3227.8231303938,2,6.6,0.9,Early-bird
K10712,3419.4625959474797,1,4.4,2.8257901416253297,Sleeping-dog
K13300,3159.83920442807,1,3.7,1.9608325665816702,Sleeping-dog
K16632,2650.9,2,4.5,2.23303286322392,Big-Screen-lover
L10919,3354.2,2,5.4,2.2672340563219,Big-Screen-lover
L13892,3263.5151446329305,3,6.7,1.1,Early-bird
L16344,3232.62043810594,2,6.6,1.1,Early-bird
L17101,3310.79245930291,2,6.5,0.9,Early-bird
L18000,3137.8,2,5.1,2.20614291941281,Big-Screen-lover
M10156,3403.13316179795,2,6.5,1.1,Early-bird
M16452,3353.53728971703,1,4.0,1.94035696275532,Sleeping-dog
M17538,4111.6,2,6.6,2.01251733516343,Big-Screen-lover
N13273,3839.6947322785795,3,6.9,1.1,Early-bird
N14862,2390.08373567855,1,6.3,1.0,Early-bird
N15762,3354.2,2,4.8,1.73796540328301,Big-Screen-lover
O10236,3706.65500079924,2,4.3,2.7089590479433503,Sleeping-dog
O12193,3491.9833163968897,2,6.4,0.9,Early-bird
O13037,3398.21633356859,1,4.5,2.9943952288013,Sleeping-dog
O13586,2980.22923915426,1,3.3,2.0386028826236697,Sleeping-dog
O16407,3687.2285119955395,2,6.6,1.3,Early-bird
O19630,3277.41770644652,2,4.5,2.8060112175531695,Sleeping-dog
P14445,3624.7,2,5.2,2.84771422467194,Big-Screen-lover
P14740,3301.58646253515,2,6.5,0.9,Early-bird
P18446,3168.56732074425,2,6.5,0.9,Early-bird
P18769,3405.2363519494,2,6.4,1.0,Early-bird
P19679,3256.1529617656897,2,6.1,0.8,Early-bird
Q11876,3238.75613228248,2,4.5,2.56342133253813,Sleeping-dog
Q12581,3436.4563815388397,2,6.2,0.9,Early-bird
Q13484,3418.91135453997,2,4.2,2.77060892830603,Sleeping-dog
Q14673,3142.2957639339197,2,6.3,0.9,Early-bird
Q15445,3083.7,2,5.0,2.47560837259516,Big-Screen-lover
Q16449,3048.3088598705895,1,3.8,2.36975816549733,Sleeping-dog
Q16970,2972.10819840076,2,6.3,0.9,Early-bird
Q18064,3841.1,2,5.9,2.8177450309088496,Big-Screen-lover
Q18901,3266.60081628179,2,5.1,3.01662490695715,Sleeping-dog
Q19870,3191.9,2,5.1,2.33424823067151,Big-Screen-lover
R10086,3895.2,2,6.0,2.00203997726552,Big-Screen-lover
R11271,3462.4,2,5.6,2.88504617478233,Big-Screen-lover
R12480,3580.34720822479,2,4.7,2.2166646956652403,Sleeping-dog
R15454,2868.1955331684803,2,6.4,1.0,Early-bird
R16364,3592.3535401614504,3,6.2,0.9,Early-bird
R18220,3300.1,2,4.9,1.77979622824118,Big-Screen-lover
S10909,3246.0,2,4.8,1.5596846797317299,Big-Screen-lover
S12066,3624.7,2,5.8,1.6786078827548798,Big-Screen-lover
S12785,3462.4,2,5.5,1.6671150311920802,Big-Screen-lover
S13238,3928.43203460678,2,4.4,2.8454833846539302,Sleeping-dog
S14751,3137.8,2,5.1,3.32633985769004,Big-Screen-lover
S14878,3201.6997411525604,2,3.9,2.09561020140536,Sleeping-dog
S15191,3041.97392660337,2,4.1,2.82003919058479,Sleeping-dog
S15607,3408.3,2,5.1,1.49889573133551,Big-Screen-lover
S15966,2797.6783140190196,2,6.9,0.9,Early-bird
S16151,3462.4,2,5.6,1.80018321336247,Big-Screen-lover
S17396,3895.2,3,6.1,2.05570673616603,Big-Screen-lover
S17893,2857.68473021543,2,3.9,2.67979545135051,Sleeping-dog
S18699,3678.8,2,5.5,2.2266541793989,Big-Screen-lover
S18924,3809.7636277210604,2,4.9,2.82460811845958,Sleeping-dog
T10762,3572.36901595086,2,4.2,2.93884831806645,Sleeping-dog
T11116,2890.7030756928802,2,3.0,2.30331813073717,Sleeping-dog
T11473,4165.7,3,6.7,1.7806736734882,Big-Screen-lover
T11512,3428.51897715511,2,4.7,3.4835727156698706,Sleeping-dog
T12735,3993.2638362809603,2,4.8,2.5358288494870096,Sleeping-dog
T13866,3732.9,2,5.1,2.8120507008302997,Big-Screen-lover
T16556,3166.0132762518,2,6.4,0.9,Early-bird
U15861,3975.96349922031,2,4.5,3.2925458315759903,Sleeping-dog
U16637,3596.3047132413,2,3.9,2.30807019811124,Sleeping-dog
U16894,3234.46560939852,2,3.6,2.60641939863563,Sleeping-dog
U17547,3313.90565524274,2,4.0,2.4483681900240497,Sleeping-dog
U17748,3394.1528400150896,2,4.0,2.18574166171253,Sleeping-dog
V10654,3902.3297898317296,2,4.6,3.2601486061233995,Sleeping-dog
V16516,3149.2598754035,2,4.1,2.41082254705019,Sleeping-dog
V16704,2605.63108330071,2,6.6,0.9,Early-bird
V18566,3527.70186740627,3,6.5,0.9,Early-bird
V19072,3462.4,2,5.3,1.9229323409963401,Big-Screen-lover
W10832,3527.3605072709206,2,4.1,2.13697081478313,Sleeping-dog
W13032,4003.4,2,6.1,2.51962263909634,Big-Screen-lover
W13404,4296.87374265383,3,6.5,1.1,Early-bird
W13995,2411.00883826542,2,6.4,1.0,Early-bird
W16193,3402.72970250235,2,6.4,0.9,Early-bird
W18228,3480.45547438437,2,6.4,0.9,Early-bird
X10158,3949.3,2,6.3,1.81566560746171,Big-Screen-lover
X13390,2947.5439822890803,3,6.3,1.1,Early-bird
X14259,3481.31454899125,2,4.3,2.52806310964748,Sleeping-dog
X19598,3516.5,2,5.1,2.6462592965923197,Big-Screen-lover
X19768,3486.0858309908003,2,4.6,2.8353549573011696,Sleeping-dog
Y10906,3408.3,2,6.0,2.13143231603317,Big-Screen-lover
Y12458,2976.21119044308,1,3.5,2.19967703120783,Sleeping-dog
Y13678,3408.3,2,5.6,2.08400471298024,Big-Screen-lover
Z11525,3259.01870370698,3,6.4,0.9,Early-bird
Z12343,3498.8969853610997,2,6.6,0.9,Early-bird
Z12772,3029.6,2,4.9,2.0930346212349797,Big-Screen-lover
