REGIONID,PRODUCTGROUP,PRODUCT,ITEM,YEARWEEK,YEAR,WEEK,QTY,HOLIDAY,HCLUS,PROMOTION,PRO_PERCENT
SEOUL_BANK_001,PG02,PRODUCT0010,ITEM0115,201501,2015,1,1225,Y,1,Y,0.20944206
SEOUL_BANK_001,PG02,PRODUCT0010,ITEM0115,201502,2015,2,968,N,4,Y,0.20944206
SEOUL_BANK_001,PG02,PRODUCT0010,ITEM0115,201503,2015,3,1209,N,4,Y,0.208154506
SEOUL_BANK_001,PG02,PRODUCT0010,ITEM0115,201504,2015,4,1810,Y,2,Y,0.208154506
SEOUL_BANK_001,PG02,PRODUCT0010,ITEM0115,201505,2015,5,1773,N,4,Y,0.208154506
SEOUL_BANK_001,PG02,PRODUCT0010,ITEM0115,201506,2015,6,867,N,4,Y,0.208154506
SEOUL_BANK_001,PG02,PRODUCT0010,ITEM0115,201507,2015,7,1187,N,4,Y,0.208154506
SEOUL_BANK_001,PG02,PRODUCT0010,ITEM0115,201508,2015,8,970,Y,1,Y,0.208154506
SEOUL_BANK_001,PG02,PRODUCT0010,ITEM0115,201509,2015,9,542,N,4,Y,0.208154506
SEOUL_BANK_001,PG02,PRODUCT0010,ITEM0115,201510,2015,10,350,N,4,N,0
SEOUL_BANK_001,PG02,PRODUCT0010,ITEM0115,201511,2015,11,988,N,4,Y,0.208154506
SEOUL_BANK_001,PG02,PRODUCT0010,ITEM0115,201512,2015,12,1314,N,4,Y,0.208154506
SEOUL_BANK_001,PG02,PRODUCT0010,ITEM0115,201513,2015,13,741,N,4,Y,0.208154506
SEOUL_BANK_001,PG02,PRODUCT0010,ITEM0115,201514,2015,14,466,N,4,Y,0.208154506
SEOUL_BANK_001,PG02,PRODUCT0010,ITEM0115,201515,2015,15,301,N,4,N,0
SEOUL_BANK_001,PG02,PRODUCT0010,ITEM0115,201516,2015,16,375,N,4,N,0
SEOUL_BANK_001,PG02,PRODUCT0010,ITEM0115,201517,2015,17,456,N,4,N,0
SEOUL_BANK_001,PG02,PRODUCT0010,ITEM0115,201518,2015,18,526,N,4,N,0
SEOUL_BANK_001,PG02,PRODUCT0010,ITEM0115,201519,2015,19,641,N,4,N,0
SEOUL_BANK_001,PG02,PRODUCT0010,ITEM0115,201520,2015,20,862,Y,1,Y,0.20944206
SEOUL_BANK_001,PG02,PRODUCT0010,ITEM0115,201521,2015,21,1335,Y,1,Y,0.20944206
