REGIONID,PRODUCT,YEARWEEK,QTY
A60,PRODUCT4,201402,71
A60,PRODUCT59,201402,22275
A60,PRODUCT34,201402,4463
A60,PRODUCT47,201402,0
A60,PRODUCT56,201402,23
A60,PRODUCT57,201402,14
A60,PRODUCT12,201402,1186
A60,PRODUCT1,201402,7
A60,PRODUCT33,201402,101
A60,PRODUCT62,201402,336
A37,PRODUCT58,201402,0
A37,PRODUCT59,201402,11492
A37,PRODUCT34,201402,825
A31,PRODUCT58,201402,0
A31,PRODUCT59,201402,560
A31,PRODUCT34,201402,103
A04,PRODUCT58,201402,0
A04,PRODUCT63,201402,740
A04,PRODUCT15,201402,394
A04,PRODUCT4,201402,2550
A04,PRODUCT16,201402,4
A04,PRODUCT59,201402,36549
A04,PRODUCT34,201402,4773
A04,PRODUCT40,201402,146
A04,PRODUCT47,201402,5
A04,PRODUCT60,201402,9
A04,PRODUCT56,201402,109
A04,PRODUCT57,201402,1195
A04,PRODUCT12,201402,15028
A04,PRODUCT1,201402,1319
A04,PRODUCT33,201402,786
A04,PRODUCT14,201402,97
A04,PRODUCT62,201402,695
A04,PRODUCT17,201402,3
A05,PRODUCT2,201402,0
A05,PRODUCT58,201402,0
A05,PRODUCT63,201402,484
A05,PRODUCT15,201402,657
A05,PRODUCT4,201402,1191
A05,PRODUCT16,201402,385
A05,PRODUCT59,201402,21679
A05,PRODUCT34,201402,879
A05,PRODUCT40,201402,203
A05,PRODUCT47,201402,75
A05,PRODUCT60,201402,1173
A05,PRODUCT56,201402,1235
A05,PRODUCT57,201402,156
A01,PRODUCT75,201403,23768
A01,PRODUCT8,201403,105
A01,PRODUCT19,201403,1513
A01,PRODUCT20,201403,59
A01,PRODUCT47,201403,4436
A01,PRODUCT60,201403,4
A01,PRODUCT56,201403,5449
A01,PRODUCT57,201403,13394
A01,PRODUCT12,201403,119281
A01,PRODUCT1,201403,21350
A01,PRODUCT33,201403,6940
A01,PRODUCT14,201403,8022
A01,PRODUCT62,201403,3823
A02,PRODUCT2,201403,3697
A02,PRODUCT6,201403,0
A02,PRODUCT58,201403,100
A02,PRODUCT63,201403,3216
A02,PRODUCT4,201403,1748
A02,PRODUCT16,201403,-1
A02,PRODUCT59,201403,20184
A02,PRODUCT34,201403,1404
A02,PRODUCT47,201403,488
A02,PRODUCT60,201403,12
A02,PRODUCT56,201403,107
A02,PRODUCT57,201403,54
A02,PRODUCT12,201403,5496
A02,PRODUCT1,201403,168
A02,PRODUCT33,201403,885
A02,PRODUCT14,201403,923
A02,PRODUCT62,201403,335
A03,PRODUCT2,201403,1066
A03,PRODUCT6,201403,11
A03,PRODUCT58,201403,189
A03,PRODUCT63,201403,1728
A03,PRODUCT15,201403,2462
A03,PRODUCT4,201403,1012
A03,PRODUCT16,201403,1469
A03,PRODUCT59,201403,21588
