REGIONID,REGIONNAME
A00,AFRICA
A01,AMERICA
A02,KOREA
A03,GERMAN
A04,BRAZIL
A05,ARAB
A06,ANGOLA
A07,BEEGIE
A08,BULGARIA
A09,BAREIL
A10,BOB
A11,BOLIVIA
A12,CANADA
A13,SWISS
A14,CHILLE
A15,CHINA
A16,COLOMBIA
A17,COSTARICA
A18,DENMARK
A19,ALGERI
A20,EGYPT
A21,SPAIN
A22,PINLAND
A23,FRANCE
A24,ENG
A25,GANA
A26,GREECE
A27,GUAM
A28,HONGKONG
A29,IT
A30,HUNGARY
A31,INDONESIA
A32,ILAND
A33,ISRAEL
A34,INDO
A35,IRAN
A36,IRAK
A37,ITALY
A38,JAPAN
A39,KUWAIT
A40,LAOS
A41,LEVANON
A42,MOROCO
A43,NETHER
A44,MAXICO
A45,NEPAL
A46,NEW
A47,PIL
A48,POL
A49,POR
A50,RUMANIA
A51,SERVIA
A52,RUSSIA
A53,SAUDI
A54,SUDAN
A55,SWEDEN
A56,SING
A57,SLOV
A58,SENEGAL
A59,SIRIA
A60,THAI
A61,TT
A62,TURKEY
A63,TAI
A64,TAN
A65,UK
A66,UR
A67,UZBE
A68,VENEZ
A69,VIETNAM
A70,VANUAT
A71,
A99,ETC
