regionseg,salesid,productgroup,item,targetweek,planwee,map_price,ir,pmap,pmap10,pro_percent
A01,SALESID0001,PG03,ITEM0200,201631,201619,0,278,-278,-251,0.25
A01,SALESID0001,PG04,ITEM0285,201606,201601,3199,756,2443,2199,0.312597687
A01,SALESID0001,PG04,ITEM0285,201607,201601,3199,756,2443,2199,0.312597687
A01,SALESID0001,PG04,ITEM0285,201608,201601,3199,756,2443,2199,0.312597687
A01,SALESID0001,PG04,ITEM0285,201609,201601,3199,533,2666,2399,0.250078149
A01,SALESID0001,PG04,ITEM0285,201610,201601,3199,533,2666,2399,0.250078149
A01,SALESID0001,PG04,ITEM0285,201611,201601,3199,533,2666,2399,0.250078149
A01,SALESID0001,PG04,ITEM0285,201612,201601,3199,311,2888,2599,0.187558612
A01,SALESID0001,PG04,ITEM0285,201613,201601,3199,311,2888,2599,0.187558612
A01,SALESID0001,PG04,ITEM0285,201614,201601,3199,756,2443,2199,0.312597687
A01,SALESID0001,PG04,ITEM0285,201615,201601,3199,756,2443,2199,0.312597687
A01,SALESID0001,PG04,ITEM0285,201616,201601,3199,756,2443,2199,0.312597687
A01,SALESID0001,PG04,ITEM0285,201617,201601,3199,756,2443,2199,0.312597687
A01,SALESID0001,PG04,ITEM0285,201618,201601,3199,311,2888,2599,0.187558612
A01,SALESID0001,PG04,ITEM0285,201619,201619,3199,311,2888,2600,0.187246014
A01,SALESID0001,PG04,ITEM0285,201620,201620,3199,867,2332,2099,0.343857455
A01,SALESID0001,PG04,ITEM0285,201621,201621,3199,867,2332,2099,0.343857455
A01,SALESID0001,PG04,ITEM0285,201622,201622,3199,867,2332,2099,0.343857455
A01,SALESID0001,PG04,ITEM0285,201623,201623,3199,867,2332,2099,0.343857455
A01,SALESID0001,PG04,ITEM0285,201624,201624,3199,311,2888,2600,0.187246014
A01,SALESID0001,PG04,ITEM0285,201625,201625,3199,1089,2110,1899,0.406376993
A01,SALESID0001,PG04,ITEM0285,201626,201626,3199,1089,2110,1899,0.406376993
A01,SALESID0001,PG04,ITEM0285,201627,201627,3199,1089,2110,1899,0.406376993
A01,SALESID0001,PG04,ITEM0285,201628,201628,3199,1089,2110,1899,0.406376993
A01,SALESID0001,PG04,ITEM0285,201629,201628,3199,322,2877,2590,0.190371991
A01,SALESID0001,PG04,ITEM0286,201406,201601,2799,500,2299,2299,0.178635227
A01,SALESID0001,PG04,ITEM0286,201407,201601,2799,500,2299,2299,0.178635227
A01,SALESID0001,PG04,ITEM0286,201408,201601,2799,500,2299,2299,0.178635227
A01,SALESID0001,PG04,ITEM0286,201410,201601,2799,200,2599,2599,0.071454091
A01,SALESID0001,PG04,ITEM0286,201411,201601,2799,200,2599,2599,0.071454091
A01,SALESID0001,PG04,ITEM0286,201412,201601,2799,570,2229,2229,0.203644159
A01,SALESID0001,PG04,ITEM0286,201413,201601,2799,570,2229,2229,0.203644159
A01,SALESID0001,PG04,ITEM0309,201407,201601,3299,500,2799,2799,0.151561079
A01,SALESID0001,PG04,ITEM0309,201408,201601,3299,500,2799,2799,0.151561079
