year,month,region,subsidiary,product,brand,model,model_group,Capa,feature,sales_qty,sales_price,mon
2015,JAN,Europe,SUBSIDIARY1,PRODUCT1,BRAND1,MODEL0895,MODELG0876,-,FEATURE1,103,97084,1
2015,FEB,Europe,SUBSIDIARY1,PRODUCT1,BRAND1,MODEL0895,MODELG0876,-,FEATURE1,60,52861,2
2015,MAR,Europe,SUBSIDIARY1,PRODUCT1,BRAND1,MODEL0895,MODELG0876,-,FEATURE1,172,150478,3
2015,APR,Europe,SUBSIDIARY1,PRODUCT1,BRAND1,MODEL0895,MODELG0876,-,FEATURE1,145,121392,4
2015,MAY,Europe,SUBSIDIARY1,PRODUCT1,BRAND1,MODEL0895,MODELG0876,-,FEATURE1,71,61763,5
2015,JUN,Europe,SUBSIDIARY1,PRODUCT1,BRAND1,MODEL0895,MODELG0876,-,FEATURE1,153,136609,6
2015,JUL,Europe,SUBSIDIARY1,PRODUCT1,BRAND1,MODEL0895,MODELG0876,-,FEATURE1,116,100339,7
2015,AUG,Europe,SUBSIDIARY1,PRODUCT1,BRAND1,MODEL0895,MODELG0876,-,FEATURE1,77,65543,8
2015,SEP,Europe,SUBSIDIARY1,PRODUCT1,BRAND1,MODEL0895,MODELG0876,-,FEATURE1,142,124223,9
2015,OCT,Europe,SUBSIDIARY1,PRODUCT1,BRAND1,MODEL0895,MODELG0876,-,FEATURE1,157,136012,10
2015,NOV,Europe,SUBSIDIARY1,PRODUCT1,BRAND1,MODEL0895,MODELG0876,-,FEATURE1,109,93868,11
2015,DEC,Europe,SUBSIDIARY1,PRODUCT1,BRAND1,MODEL0895,MODELG0876,-,FEATURE1,216,178073,12
2016,JAN,Europe,SUBSIDIARY1,PRODUCT1,BRAND1,MODEL0895,MODELG0876,-,FEATURE1,118,100454,1
2016,FEB,Europe,SUBSIDIARY1,PRODUCT1,BRAND1,MODEL0895,MODELG0876,-,FEATURE1,201,170191,2
2016,MAR,Europe,SUBSIDIARY1,PRODUCT1,BRAND1,MODEL0895,MODELG0876,-,FEATURE1,248,210385,3
2016,APR,Europe,SUBSIDIARY1,PRODUCT1,BRAND1,MODEL0895,MODELG0876,-,FEATURE1,189,168417,4
2016,MAY,Europe,SUBSIDIARY1,PRODUCT1,BRAND1,MODEL0895,MODELG0876,-,FEATURE1,173,155038,5
2016,JUN,Europe,SUBSIDIARY1,PRODUCT1,BRAND1,MODEL0895,MODELG0876,-,FEATURE1,225,196283,6
2016,JUL,Europe,SUBSIDIARY1,PRODUCT1,BRAND1,MODEL0895,MODELG0876,-,FEATURE1,173,149341,7
2016,AUG,Europe,SUBSIDIARY1,PRODUCT1,BRAND1,MODEL0895,MODELG0876,-,FEATURE1,65,56268,8
2016,SEP,Europe,SUBSIDIARY1,PRODUCT1,BRAND1,MODEL0895,MODELG0876,-,FEATURE1,169,146338,9
2016,OCT,Europe,SUBSIDIARY1,PRODUCT1,BRAND1,MODEL0895,MODELG0876,-,FEATURE1,228,198246,10
